title;Dish;Rating;Description;Price
Mehrnaz;Chicken Malai Tikka;4.44;Tender and creamy chicken malai tikka, marinated in a rich blend of yogurt, cream and spices, grilled to perfection served with chutney and onion.;₹299
Mehrnaz;Galawati Kabab Combo;4.08;Galouti Kabab [2 Pieces]+2 Paratha+Chutney+Onion;₹239
Mehrnaz;Mutton Kali Mirch;;Tender mutton cooked in rich and aromatic black pepper gravy, a delectable blend of flavors.;₹269
Mehrnaz;Chicken Biryani;4.17;Aromatic and fragrant rice dish layered with tender spiced chicken, creating a symphony of flavours in every bite, served with chutney and onion.;₹249
Mehrnaz;Mutton Biryani;4.02;Fragrant basmati rice layered with tender mutton, aromatic spices and herbs, creating a harmonious symphony of flavours, served with chutney and onion.;₹259
Mehrnaz;Mutton Galawati Kebab;4.11;Mutton galawati kabab is an indian mutton kabab recipe that is made with marinated boneless pieces of mutton that are skewered & cooked until just tender & juicy.;₹85
Mehrnaz;Shami Kebab;4.74;Shami kababs, exquisitely spiced and tender minced meat patties, a true culinary delight served with chutney and onion.;₹79
Mehrnaz;Roasted Chicken;4.21;Charred and aromatic chicken tandoori, marinated in a blend of yogurt and spices offering a mouthwatering Indian grilled delicacy.;₹289
Mehrnaz;Chicken Tikka;4.54;Tender and marinated chicken tikka a popular indian dish known for its aromatic spices and charred perfection.;₹279
Mehrnaz;Chicken Afghani;4.45;Chicken Afghani: A creamy and marinated grilled chicken dish with rich flavors, hailing from Afghan cuisine.;₹299
Mehrnaz;Chicken Malai Tikka;4.44;Tender and creamy chicken malai tikka, marinated in a rich blend of yogurt, cream and spices, grilled to perfection served with chutney and onion.;₹299
Mehrnaz;Boneless Fish Tikka;4.37;Boneless fish tikka delicately marinated fish chunks, charred to perfection with a harmonious blend of Indian spices, offering a tantalizing tikka experience served with chutney and onion.;₹259
Mehrnaz;Fish Tandoori;4.15;Delectable fish tandoori: tender fish marinated in aromatic spices and yogurt, cooked to perfection in a tandoor for an irresistible smoky flavor served with chutney and onion.;₹249
Mehrnaz;Boiled Chicken;;Boiled chicken is low in fat and calories, making it an ideal choice for those looking to maintain a healthy diet.;₹220
Mehrnaz;Paneer Chilli Dry;;A delectable Indo-Chinese dish featuring cubed paneer sauteed with vibrant bell peppers and onions in a spicy and savory sauce.;₹249
Mehrnaz;Veg Manchurian Dry;;A delectable Indo-Chinese dish, featuring savory vegetable dumplings in a rich, aromatic sauce.;₹239
Mehrnaz;Chicken Chilli Dry;3.19;Spicy and flavorful chicken chilli, a delicious fusion of tender chicken pieces cooked in a zesty tomato-based sauce with aromatic herbs and spices.;₹249
Mehrnaz;Chicken Manchurian Dry;;Indo-Chinese dish featuring crispy chicken bites in a savory and tangy sauce, a delightful blend of flavors and textures.;₹249
Mehrnaz;Paneer Chilli Gravy;;A delectable Indo Chinese dish featuring cubed paneer sauteed with vibrant bell peppers and onions in a spicy and savory sauce.;₹249
Mehrnaz;Veg Manchurian Gravy;;A delectable Indo Chinese dish featuring savory vegetable dumplings in a rich, aromatic sauce, enjoyed without rice.;₹239
Mehrnaz;Chicken Chilli Gravy;4.01;A delicious fusion of tender chicken pieces cooked in a zesty tomato based sauce with aromatic herbs and spices.;₹249
Mehrnaz;Chicken Manchurian Gravy;;Indo-Chinese dish featuring crispy chicken bites in a savory and tangy sauce, a delightful blend of flavors and textures.;₹249
Mehrnaz;Matar Paneer;;Rich and creamy North Indian curry featuring tender green peas and soft paneer cubes in a luscious tomato-based gravy.;₹239
Mehrnaz;Paneer Kali Mirch;;Rich and creamy paneer kalimirch gravy infused with aromatic black pepper, a delectable Indian vegetarian dish.;₹249
Mehrnaz;Paneer Do Pyaaza;;Creamy cottage cheese cooked in a rich and aromatic onion infused gravy.;₹239
Mehrnaz;Paneer Kadai;;Aromatic paneer cooked in a rich and flavorful tomato-based gravy with aromatic spices.;₹239
Mehrnaz;Paneer Butter Masala;3.62;A rich and creamy vegetarian dish featuring soft paneer cubes simmered in a luscious tomato-based buttery sauce.;₹249
Mehrnaz;Paneer Lababdar;;Rich and creamy paneer lababdar, a delectable Indian dish featuring soft paneer cubes cooked in a flavorful tomato- based gravy.;₹249
Mehrnaz;Matar Mushroom;;Matar mushroom curry, a delightful blend of tender green peas and mushrooms in aromatic Indian spices.;₹249
Mehrnaz;Mushroom Do Pyaaza;;Mushroom do pyaza, a delectable Indian dish showcasing tender mushrooms cooked with an abundance of onions and fragrant spices.;₹249
Mehrnaz;Mushroom Masala;3.39;Blend of tender mushrooms cooked in a rich and aromatic masala sauce.;₹249
